Order_ID,order_date,Region,Country,Customer_ID,Customer_Name,Segment,day_to_ship,Product_ID,Category,Subcategory,Quantity,sales_THB
CA-2016-103730,2023-06-12,East,United States,SC-20725,Chalmers Sedgeworth,Consumer,3.0,OFF-BI-10003910,Office Supplies,Binders,4,
CA-2016-103730,2023-06-12,East,United States,SC-20725,Chalmers Sedgeworth,Consumer,3.0,OFF-ST-10000777,Office Supplies,Storage,6,
CA-2016-103730,2023-06-12,East,United States,SC-20725,Chalmers Sedgeworth,Consumer,3.0,OFF-EN-10002500,Office Supplies,Envelopes,9,
CA-2016-103730,2023-06-12,East,United States,SC-20725,Chalmers Sedgeworth,Consumer,3.0,TEC-PH-10003875,Technology,Phones,7,
US-2016-125969,2023-11-06,West,United States,LS-16975,Gerhard Storie,Home Office,4.0,FUR-CH-10001146,Furniture,Chairs,2,2958.72
US-2016-125969,2023-11-06,West,United States,LS-16975,Gerhard Storie,Home Office,4.0,FUR-FU-10003773,Furniture,Furnishings,3,8668.59
US-2017-164147,2024-02-02,East,United States,DW-13585,Giovanna Woodwing,Corporate,3.0,TEC-PH-10002293,Technology,Phones,5,2192.7
US-2017-164147,2024-02-02,East,United States,DW-13585,Giovanna Woodwing,Corporate,3.0,OFF-PA-10002377,Office Supplies,Paper,2,2863.05
US-2017-164147,2024-02-02,East,United States,DW-13585,Giovanna Woodwing,Corporate,3.0,OFF-FA-10002780,Office Supplies,Fasteners,9,784.5
CA-2016-145583,2023-10-13,West,United States,LC-16885,Tawsha Dalgliesh,Consumer,6.0,OFF-PA-10001804,Office Supplies,Paper,3,716.94
CA-2016-145583,2023-10-13,West,United States,LC-16885,Tawsha Dalgliesh,Consumer,6.0,OFF-PA-10001736,Office Supplies,Paper,1,1267.88
CA-2016-145583,2023-10-13,West,United States,LC-16885,Tawsha Dalgliesh,Consumer,6.0,OFF-AR-10001149,Office Supplies,Art,4,412.13
CA-2016-145583,2023-10-13,West,United States,LC-16885,Tawsha Dalgliesh,Consumer,6.0,OFF-FA-10002988,Office Supplies,Fasteners,2,143.82
CA-2016-145583,2023-10-13,West,United States,LC-16885,Tawsha Dalgliesh,Consumer,6.0,OFF-BI-10004781,Office Supplies,Binders,3,2725.22
CA-2016-145583,2023-10-13,West,United States,LC-16885,Tawsha Dalgliesh,Consumer,6.0,OFF-SU-10001218,Office Supplies,Supplies,6,2356.88
CA-2016-145583,2023-10-13,West,United States,LC-16885,Tawsha Dalgliesh,Consumer,6.0,FUR-FU-10001706,Furniture,Furnishings,14,1542.63
CA-2016-110366,2023-09-05,East,United States,JD-15895,Cinda Silbersak,Corporate,2.0,FUR-FU-10004848,Furniture,Furnishings,2,
CA-2016-114104,2023-11-20,Central,United States,NP-18670,Kimberlee Kapelhoff,Consumer,4.0,OFF-LA-10002475,Office Supplies,Labels,2,530.22
CA-2016-114104,2023-11-20,Central,United States,NP-18670,Kimberlee Kapelhoff,Consumer,4.0,TEC-PH-10004536,Technology,Phones,7,34269.84
CA-2016-162733,2023-05-11,West,United States,TT-21070,Pacorro Dargue,Consumer,1.0,OFF-PA-10002751,Office Supplies,Paper,1,
CA-2016-113817,2023-11-07,West,United States,MJ-17740,Joana Stedall,Consumer,4.0,OFF-BI-10004002,Office Supplies,Binders,2,998.88
US-2017-152366,2024-04-21,Central,United States,SJ-20500,Dorene Doles,Consumer,4.0,OFF-AP-10002684,Office Supplies,Appliances,4,3552.34
CA-2016-105018,2023-11-28,East,United States,SK-19990,Cindee Everleigh,Consumer,4.0,OFF-BI-10001890,Office Supplies,Binders,2,261.68
CA-2016-130162,2023-10-28,West,United States,JH-15910,Elnore Watmough,Consumer,4.0,OFF-ST-10001328,Office Supplies,Storage,6,3368.48
CA-2016-130162,2023-10-28,West,United States,JH-15910,Elnore Watmough,Consumer,4.0,TEC-PH-10002563,Technology,Phones,3,10945.07
US-2017-100930,2024-04-07,South,United States,CS-12400,Ailbert Malpas,Home Office,5.0,FUR-TA-10001705,Furniture,Tables,2,8479.06
US-2017-100930,2024-04-07,South,United States,CS-12400,Ailbert Malpas,Home Office,5.0,FUR-TA-10003473,Furniture,Tables,3,22501.61
US-2017-100930,2024-04-07,South,United States,CS-12400,Ailbert Malpas,Home Office,5.0,OFF-BI-10001679,Office Supplies,Binders,2,193.18
US-2017-100930,2024-04-07,South,United States,CS-12400,Ailbert Malpas,Home Office,5.0,FUR-FU-10004017,Furniture,Furnishings,3,9356.91
US-2017-100930,2024-04-07,South,United States,CS-12400,Ailbert Malpas,Home Office,5.0,TEC-AC-10003832,Technology,Accessories,3,22405.95
CA-2016-157749,2023-06-04,Central,United States,KL-16645,Edwina Ravilus,Consumer,5.0,OFF-PA-10003349,Office Supplies,Paper,5,
CA-2016-157749,2023-06-04,Central,United States,KL-16645,Edwina Ravilus,Consumer,5.0,FUR-FU-10000576,Furniture,Furnishings,5,
CA-2016-157749,2023-06-04,Central,United States,KL-16645,Edwina Ravilus,Consumer,5.0,FUR-FU-10004351,Furniture,Furnishings,3,
CA-2016-157749,2023-06-04,Central,United States,KL-16645,Edwina Ravilus,Consumer,5.0,TEC-PH-10000011,Technology,Phones,2,
CA-2016-157749,2023-06-04,Central,United States,KL-16645,Edwina Ravilus,Consumer,5.0,FUR-TA-10002607,Furniture,Tables,5,
CA-2016-157749,2023-06-04,Central,United States,KL-16645,Edwina Ravilus,Consumer,5.0,FUR-FU-10002505,Furniture,Furnishings,3,
CA-2016-157749,2023-06-04,Central,United States,KL-16645,Edwina Ravilus,Consumer,5.0,OFF-AR-10004685,Office Supplies,Art,2,
CA-2016-154739,2023-12-10,West,United States,LH-17155,Lonna Sprigging,Consumer,5.0,FUR-CH-10002965,Furniture,Chairs,2,11833.45
CA-2016-145625,2023-09-11,West,United States,KC-16540,Jasmina Drescher,Consumer,6.0,OFF-PA-10004569,Office Supplies,Paper,1,
CA-2016-145625,2023-09-11,West,United States,KC-16540,Jasmina Drescher,Consumer,6.0,TEC-AC-10003832,Technology,Accessories,13,
CA-2016-125318,2023-06-06,Central,United States,RC-19825,Cassie Ewence,Consumer,7.0,TEC-PH-10001433,Technology,Phones,4,
CA-2016-112697,2023-12-18,South,United States,AH-10195,Pepillo Romi,Corporate,2.0,OFF-BI-10000778,Office Supplies,Binders,7,9142.81
CA-2016-112697,2023-12-18,South,United States,AH-10195,Pepillo Romi,Corporate,2.0,OFF-AP-10002684,Office Supplies,Appliances,2,7000.5
CA-2016-112697,2023-12-18,South,United States,AH-10195,Pepillo Romi,Corporate,2.0,OFF-SU-10000646,Office Supplies,Supplies,5,34600.88
CA-2016-142545,2023-10-28,East,United States,JD-15895,Cinda Silbersak,Corporate,6.0,OFF-PA-10002105,Office Supplies,Paper,5,1172.78
CA-2016-142545,2023-10-28,East,United States,JD-15895,Cinda Silbersak,Corporate,6.0,OFF-ST-10002756,Office Supplies,Storage,8,39182.42
CA-2016-142545,2023-10-28,East,United States,JD-15895,Cinda Silbersak,Corporate,6.0,OFF-PA-10004243,Office Supplies,Paper,3,2059.97
CA-2016-142545,2023-10-28,East,United States,JD-15895,Cinda Silbersak,Corporate,6.0,FUR-FU-10001861,Furniture,Furnishings,4,2808.88
CA-2016-142545,2023-10-28,East,United States,JD-15895,Cinda Silbersak,Corporate,6.0,OFF-BI-10002706,Office Supplies,Binders,1,516.89
CA-2017-126774,2024-04-15,South,United States,SH-20395,Janella Cantor,Consumer,2.0,OFF-AR-10002804,Office Supplies,Art,1,175.55
CA-2016-142902,2023-09-12,West,United States,BP-11185,Ewan Chastel,Corporate,2.0,FUR-FU-10001918,Furniture,Furnishings,4,
CA-2016-142902,2023-09-12,West,United States,BP-11185,Ewan Chastel,Corporate,2.0,FUR-CH-10004086,Furniture,Chairs,2,
CA-2016-142902,2023-09-12,West,United States,BP-11185,Ewan Chastel,Corporate,2.0,FUR-FU-10001756,Furniture,Furnishings,1,
CA-2016-142902,2023-09-12,West,United States,BP-11185,Ewan Chastel,Corporate,2.0,OFF-LA-10000634,Office Supplies,Labels,3,
CA-2016-162138,2023-04-23,West,United States,GK-14620,Zachary Peppard,Corporate,4.0,OFF-BI-10004593,Office Supplies,Binders,6,
CA-2016-162138,2023-04-23,West,United States,GK-14620,Zachary Peppard,Corporate,4.0,TEC-AC-10001908,Technology,Accessories,1,
US-2016-150147,2023-04-25,East,United States,JL-15850,Floris Matches,Consumer,4.0,TEC-PH-10004614,Technology,Phones,2,
US-2016-150147,2023-04-25,East,United States,JL-15850,Floris Matches,Consumer,4.0,OFF-BI-10001153,Office Supplies,Binders,2,
US-2016-150147,2023-04-25,East,United States,JL-15850,Floris Matches,Consumer,4.0,OFF-BI-10001982,Office Supplies,Binders,3,
CA-2016-129714,2023-09-01,East,United States,AB-10060,Lyndsey Atkyns,Home Office,2.0,TEC-AC-10000290,Technology,Accessories,1,
CA-2016-129714,2023-09-01,East,United States,AB-10060,Lyndsey Atkyns,Home Office,2.0,OFF-PA-10001970,Office Supplies,Paper,2,
CA-2016-129714,2023-09-01,East,United States,AB-10060,Lyndsey Atkyns,Home Office,2.0,OFF-BI-10002160,Office Supplies,Binders,1,
CA-2016-129714,2023-09-01,East,United States,AB-10060,Lyndsey Atkyns,Home Office,2.0,OFF-PA-10001970,Office Supplies,Paper,4,
CA-2016-129714,2023-09-01,East,United States,AB-10060,Lyndsey Atkyns,Home Office,2.0,OFF-BI-10004995,Office Supplies,Binders,4,
CA-2016-138520,2023-04-08,East,United States,JL-15505,Joshuah Shipp,Consumer,5.0,FUR-BO-10002268,Furniture,Bookcases,6,
CA-2016-138520,2023-04-08,East,United States,JL-15505,Joshuah Shipp,Consumer,5.0,OFF-EN-10001137,Office Supplies,Envelopes,2,
CA-2016-138520,2023-04-08,East,United States,JL-15505,Joshuah Shipp,Consumer,5.0,OFF-AR-10002399,Office Supplies,Art,4,
CA-2016-138520,2023-04-08,East,United States,JL-15505,Joshuah Shipp,Consumer,5.0,OFF-PA-10002713,Office Supplies,Paper,5,
CA-2016-130001,2023-04-23,South,United States,HK-14890,Amos Drinkwater,Corporate,5.0,OFF-PA-10002666,Office Supplies,Paper,5,
CA-2017-155698,2024-03-08,South,United States,VB-21745,Theobald Wabb,Corporate,3.0,OFF-AP-10001124,Office Supplies,Appliances,8,23578.35
CA-2017-155698,2024-03-08,South,United States,VB-21745,Theobald Wabb,Corporate,3.0,OFF-LA-10001158,Office Supplies,Labels,2,753.38
CA-2016-134775,2023-10-28,West,United States,AS-10285,Yvon Couthard,Corporate,1.0,OFF-PA-10004734,Office Supplies,Paper,7,1844.59
CA-2016-134775,2023-10-28,West,United States,AS-10285,Yvon Couthard,Corporate,1.0,OFF-BI-10002225,Office Supplies,Binders,3,1793.05
CA-2016-148796,2023-04-14,West,United States,PB-19150,Farris Gilliver,Consumer,4.0,FUR-CH-10004886,Furniture,Chairs,5,
CA-2017-110478,2024-03-04,West,United States,SP-20860,Farica Mariot,Corporate,5.0,OFF-AR-10001573,Office Supplies,Art,4,339.53
CA-2017-110478,2024-03-04,West,United States,SP-20860,Farica Mariot,Corporate,5.0,OFF-EN-10000483,Office Supplies,Envelopes,1,555.55
US-2016-123750,2023-04-15,South,United States,RB-19795,Antoine Cosans,Home Office,6.0,OFF-BI-10004584,Office Supplies,Binders,2,
US-2016-123750,2023-04-15,South,United States,RB-19795,Antoine Cosans,Home Office,6.0,TEC-AC-10004659,Technology,Accessories,7,
US-2016-123750,2023-04-15,South,United States,RB-19795,Antoine Cosans,Home Office,6.0,TEC-AC-10004659,Technology,Accessories,5,
US-2016-123750,2023-04-15,South,United States,RB-19795,Antoine Cosans,Home Office,6.0,OFF-ST-10000617,Office Supplies,Storage,2,
CA-2016-127369,2023-06-06,East,United States,DB-13060,Dennis Whawell,Consumer,1.0,OFF-ST-10003306,Office Supplies,Storage,5,
CA-2016-147375,2023-06-12,Central,United States,PO-19180,Kele Rex,Home Office,2.0,TEC-MA-10002937,Technology,Machines,3,
CA-2016-147375,2023-06-12,Central,United States,PO-19180,Kele Rex,Home Office,2.0,OFF-PA-10001970,Office Supplies,Paper,7,
CA-2017-157252,2024-01-20,East,United States,CV-12805,Carlos Kausche,Corporate,3.0,FUR-CH-10003396,Furniture,Chairs,3,7648.27
CA-2017-154214,2024-03-20,Central,United States,TB-21595,Logan Danielsen,Consumer,5.0,FUR-FU-10000206,Furniture,Furnishings,1,104.75
CA-2016-100153,2023-12-13,Central,United States,KH-16630,Iona Reaper,Corporate,4.0,TEC-AC-10001772,Technology,Accessories,4,2345.43
US-2016-157945,2023-09-26,Central,United States,NF-18385,Lurlene Eilhart,Consumer,5.0,FUR-CH-10002331,Furniture,Chairs,3,
US-2016-157945,2023-09-26,Central,United States,NF-18385,Lurlene Eilhart,Consumer,5.0,OFF-EN-10001415,Office Supplies,Envelopes,2,
CA-2016-109869,2023-04-22,West,United States,TN-21040,Sandy Dacca,Home Office,7.0,FUR-FU-10000023,Furniture,Furnishings,5,
CA-2016-109869,2023-04-22,West,United States,TN-21040,Sandy Dacca,Home Office,7.0,FUR-TA-10001889,Furniture,Tables,6,
CA-2016-109869,2023-04-22,West,United States,TN-21040,Sandy Dacca,Home Office,7.0,OFF-BI-10000315,Office Supplies,Binders,5,
CA-2016-109869,2023-04-22,West,United States,TN-21040,Sandy Dacca,Home Office,7.0,OFF-SU-10003505,Office Supplies,Supplies,2,
CA-2016-109869,2023-04-22,West,United States,TN-21040,Sandy Dacca,Home Office,7.0,OFF-AP-10002578,Office Supplies,Appliances,2,
CA-2017-154907,2024-03-31,Central,United States,DS-13180,Town Kidner,Corporate,4.0,FUR-BO-10002824,Furniture,Bookcases,2,7440.97
US-2016-100419,2023-12-16,Central,United States,CC-12670,Tabitha Vardey,Consumer,4.0,OFF-BI-10002194,Office Supplies,Binders,3,174.9
CA-2016-103891,2023-07-12,West,United States,KH-16690,Rubetta Stanlike,Corporate,7.0,TEC-PH-10000149,Technology,Phones,6,
CA-2016-152632,2023-10-27,East,United States,JE-15475,Cathleen Simcoe,Consumer,6.0,FUR-FU-10002671,Furniture,Furnishings,3,1462.43
CA-2016-100790,2023-06-26,East,United States,JG-15805,Sandye Strangwood,Corporate,6.0,OFF-AR-10003045,Office Supplies,Art,5,
CA-2016-100790,2023-06-26,East,United States,JG-15805,Sandye Strangwood,Corporate,6.0,OFF-ST-10000689,Office Supplies,Storage,5,
CA-2016-169166,2023-05-09,West,United States,SS-20590,Sargent Hulance,Consumer,5.0,TEC-AC-10000991,Technology,Accessories,2,
US-2016-120929,2023-03-18,South,United States,RO-19780,Murry Bellhanger,Consumer,3.0,FUR-TA-10001857,Furniture,Tables,3,
US-2016-105578,2023-05-30,West,United States,MY-17380,Tanney Falconer,Corporate,5.0,OFF-BI-10001670,Office Supplies,Binders,2,
US-2016-105578,2023-05-30,West,United States,MY-17380,Tanney Falconer,Corporate,5.0,OFF-BI-10001658,Office Supplies,Binders,2,
US-2016-105578,2023-05-30,West,United States,MY-17380,Tanney Falconer,Corporate,5.0,FUR-CH-10001215,Furniture,Chairs,2,
US-2016-105578,2023-05-30,West,United States,MY-17380,Tanney Falconer,Corporate,5.0,OFF-BI-10000831,Office Supplies,Binders,3,
US-2016-105578,2023-05-30,West,United States,MY-17380,Tanney Falconer,Corporate,5.0,OFF-PA-10000357,Office Supplies,Paper,1,
CA-2016-106341,2023-10-20,East,United States,LF-17185,Jermaine Pawsey,Consumer,3.0,OFF-AR-10002053,Office Supplies,Art,3,256.55
CA-2017-127432,2024-01-22,West,United States,AD-10180,Jo-anne Diack,Home Office,5.0,TEC-CO-10003236,Technology,Copiers,5,108706.11
CA-2017-127432,2024-01-22,West,United States,AD-10180,Jo-anne Diack,Home Office,5.0,OFF-ST-10004507,Office Supplies,Storage,3,1864.34
CA-2017-127432,2024-01-22,West,United States,AD-10180,Jo-anne Diack,Home Office,5.0,OFF-PA-10001667,Office Supplies,Paper,2,433.38
CA-2017-127432,2024-01-22,West,United States,AD-10180,Jo-anne Diack,Home Office,5.0,OFF-ST-10004459,Office Supplies,Storage,3,40802.43
CA-2017-145142,2024-01-23,Central,United States,MC-17605,Jennette Tomovic,Corporate,2.0,FUR-TA-10001857,Furniture,Tables,2,7646.15
US-2016-139486,2023-05-21,West,United States,LH-17155,Lonna Sprigging,Consumer,2.0,TEC-PH-10003555,Technology,Phones,3,
US-2016-139486,2023-05-21,West,United States,LH-17155,Lonna Sprigging,Consumer,2.0,TEC-AC-10003832,Technology,Accessories,2,
CA-2016-168753,2023-05-29,South,United States,RL-19615,Colline Valance,Consumer,3.0,TEC-PH-10000984,Technology,Phones,5,
CA-2016-168753,2023-05-29,South,United States,RL-19615,Colline Valance,Consumer,3.0,OFF-BI-10002557,Office Supplies,Binders,5,
CA-2016-126613,2023-07-10,West,United States,AA-10375,Grannie Carruthers,Consumer,6.0,OFF-ST-10001325,Office Supplies,Storage,2,
CA-2016-127250,2023-11-03,West,United States,SF-20200,Jobie Brinkman,Consumer,4.0,OFF-AR-10003394,Office Supplies,Art,3,316.93
CA-2016-120180,2023-07-14,East,United States,TP-21130,Ermentrude Pickhaver,Consumer,2.0,OFF-SU-10004115,Office Supplies,Supplies,2,
CA-2016-161816,2023-04-28,Central,United States,NB-18655,Elyssa Buckles,Corporate,3.0,TEC-PH-10003012,Technology,Phones,3,
CA-2016-161816,2023-04-28,Central,United States,NB-18655,Elyssa Buckles,Corporate,3.0,OFF-LA-10004345,Office Supplies,Labels,4,
CA-2016-121223,2023-09-11,East,United States,GD-14590,Jacklin Sloss,Corporate,2.0,OFF-PA-10001204,Office Supplies,Paper,2,
CA-2016-121223,2023-09-11,East,United States,GD-14590,Jacklin Sloss,Corporate,2.0,TEC-PH-10004667,Technology,Phones,9,
US-2016-135720,2023-12-11,West,United States,FM-14380,Eleni Godby,Consumer,2.0,OFF-ST-10001963,Office Supplies,Storage,3,8826.38
US-2016-135720,2023-12-11,West,United States,FM-14380,Eleni Godby,Consumer,2.0,TEC-AC-10001267,Technology,Accessories,5,4344.58
US-2016-135720,2023-12-11,West,United States,FM-14380,Eleni Godby,Consumer,2.0,TEC-PH-10002103,Technology,Phones,4,10907.43
US-2016-123470,2023-08-15,West,United States,ME-17725,Felipa Tommaseo,Consumer,6.0,OFF-BI-10001989,Office Supplies,Binders,3,
US-2016-123470,2023-08-15,West,United States,ME-17725,Felipa Tommaseo,Consumer,6.0,OFF-AP-10003287,Office Supplies,Appliances,3,
CA-2016-147067,2023-12-18,Central,United States,JD-16150,Meade Rippingale,Corporate,4.0,FUR-FU-10000732,Furniture,Furnishings,3,678.0
CA-2016-160745,2023-12-11,West,United States,AR-10825,Bel Leile,Corporate,5.0,FUR-FU-10001935,Furniture,Furnishings,4,536.73
CA-2016-160745,2023-12-11,West,United States,AR-10825,Bel Leile,Corporate,5.0,TEC-PH-10003273,Technology,Phones,3,10965.74
CA-2016-160745,2023-12-11,West,United States,AR-10825,Bel Leile,Corporate,5.0,TEC-AC-10001142,Technology,Accessories,4,11459.82
CA-2016-132661,2023-10-23,East,United States,SR-20740,Deanna Feehan,Home Office,6.0,OFF-PA-10000482,Office Supplies,Paper,10,13679.21
CA-2016-137239,2023-08-22,East,United States,CR-12730,Abbott Winser,Consumer,6.0,OFF-AP-10002439,Office Supplies,Appliances,2,
CA-2016-137239,2023-08-22,East,United States,CR-12730,Abbott Winser,Consumer,6.0,OFF-BI-10002827,Office Supplies,Binders,2,
CA-2016-137239,2023-08-22,East,United States,CR-12730,Abbott Winser,Consumer,6.0,OFF-EN-10002230,Office Supplies,Envelopes,2,
CA-2016-123666,2023-03-26,East,United States,SP-20545,Blair Darville,Corporate,4.0,OFF-ST-10001522,Office Supplies,Storage,5,
CA-2016-143308,2023-11-04,South,United States,RC-19825,Cassie Ewence,Consumer,0.0,OFF-FA-10000621,Office Supplies,Fasteners,3,389.03
US-2017-119438,2024-03-18,Central,United States,CD-11980,Hermione Wadman,Consumer,5.0,OFF-AP-10000804,Office Supplies,Appliances,3,97.5
US-2017-119438,2024-03-18,Central,United States,CD-11980,Hermione Wadman,Consumer,5.0,TEC-AC-10003614,Technology,Accessories,3,1008.97
US-2017-119438,2024-03-18,Central,United States,CD-11980,Hermione Wadman,Consumer,5.0,FUR-FU-10003553,Furniture,Furnishings,3,2993.39
US-2017-119438,2024-03-18,Central,United States,CD-11980,Hermione Wadman,Consumer,5.0,OFF-BI-10004632,Office Supplies,Binders,3,6637.73
CA-2016-164511,2023-11-19,East,United States,DJ-13630,Trenna Scoullar,Consumer,5.0,OFF-BI-10003305,Office Supplies,Binders,3,517.74
CA-2016-164511,2023-11-19,East,United States,DJ-13630,Trenna Scoullar,Consumer,5.0,OFF-ST-10002583,Office Supplies,Storage,2,2343.4
CA-2016-164511,2023-11-19,East,United States,DJ-13630,Trenna Scoullar,Consumer,5.0,OFF-ST-10004507,Office Supplies,Storage,4,2474.71
CA-2016-163755,2023-11-04,West,United States,AS-10285,Yvon Couthard,Corporate,4.0,FUR-FU-10003394,Furniture,Furnishings,3,7602.44
CA-2016-142335,2023-12-15,Central,United States,MP-17965,Alonso Pautard,Corporate,4.0,FUR-TA-10000198,Furniture,Tables,3,59913.27
CA-2016-142335,2023-12-15,Central,United States,MP-17965,Alonso Pautard,Corporate,4.0,OFF-ST-10000036,Office Supplies,Storage,3,10742.37
CA-2016-114713,2023-07-07,South,United States,SC-20695,Irvin Earey,Corporate,5.0,OFF-SU-10004664,Office Supplies,Supplies,7,
US-2016-150861,2023-12-03,East,United States,EG-13900,Brnaba Lewsey,Consumer,3.0,OFF-PA-10001954,Office Supplies,Paper,8,6576.88
US-2016-150861,2023-12-03,East,United States,EG-13900,Brnaba Lewsey,Consumer,3.0,FUR-TA-10002228,Furniture,Tables,2,14398.87
US-2016-150861,2023-12-03,East,United States,EG-13900,Brnaba Lewsey,Consumer,3.0,OFF-ST-10004634,Office Supplies,Storage,3,1210.49
US-2016-150861,2023-12-03,East,United States,EG-13900,Brnaba Lewsey,Consumer,3.0,FUR-CH-10002965,Furniture,Chairs,3,19532.15
US-2016-150861,2023-12-03,East,United States,EG-13900,Brnaba Lewsey,Consumer,3.0,OFF-LA-10001317,Office Supplies,Labels,2,226.76
CA-2017-131954,2024-01-21,West,United States,DS-13030,Bernarr Fulk,Home Office,4.0,OFF-ST-10000736,Office Supplies,Storage,3,8773.66
CA-2017-131954,2024-01-21,West,United States,DS-13030,Bernarr Fulk,Home Office,4.0,TEC-AC-10003610,Technology,Accessories,3,6499.53
CA-2017-131954,2024-01-21,West,United States,DS-13030,Bernarr Fulk,Home Office,4.0,OFF-BI-10003982,Office Supplies,Binders,6,3600.47
CA-2017-131954,2024-01-21,West,United States,DS-13030,Bernarr Fulk,Home Office,4.0,OFF-BI-10003291,Office Supplies,Binders,4,1008.9
CA-2017-131954,2024-01-21,West,United States,DS-13030,Bernarr Fulk,Home Office,4.0,FUR-BO-10001619,Furniture,Bookcases,1,3069.01
CA-2017-131954,2024-01-21,West,United States,DS-13030,Bernarr Fulk,Home Office,4.0,OFF-BI-10000138,Office Supplies,Binders,5,676.06
US-2016-146710,2023-08-27,Central,United States,SS-20875,Christiane Nice,Consumer,5.0,OFF-SU-10004498,Office Supplies,Supplies,5,
US-2016-146710,2023-08-27,Central,United States,SS-20875,Christiane Nice,Consumer,5.0,OFF-PA-10002615,Office Supplies,Paper,1,
US-2016-146710,2023-08-27,Central,United States,SS-20875,Christiane Nice,Consumer,5.0,OFF-PA-10004971,Office Supplies,Paper,1,
US-2016-146710,2023-08-27,Central,United States,SS-20875,Christiane Nice,Consumer,5.0,OFF-SU-10004261,Office Supplies,Supplies,4,
